[2025-10-01 14:27:36] Reindex HIJ - inicio
[2025-10-01 23:07:49] [J] 19600 archivos procesados
[2025-10-01 23:08:08] [J] 19800 archivos procesados
[2025-10-01 23:08:14] [J] 20000 archivos procesados
[2025-10-01 23:08:20] [J] 20200 archivos procesados
[2025-10-01 23:08:26] [J] 20400 archivos procesados
[2025-10-01 23:08:35] [J] 20600 archivos procesados
[2025-10-01 23:08:38] [J] 20800 archivos procesados
[2025-10-01 23:08:43] [J] 21000 archivos procesados
[2025-10-01 23:08:49] [J] 21200 archivos procesados
[2025-10-01 23:08:56] [J] 21400 archivos procesados
[2025-10-01 23:09:04] [J] 21600 archivos procesados
[2025-10-01 23:09:14] [J] 21800 archivos procesados
[2025-10-01 23:09:26] [J] 22000 archivos procesados
[2025-10-01 23:09:41] [J] 22200 archivos procesados
[2025-10-01 23:09:51] [J] 22400 archivos procesados
[2025-10-01 23:09:59] [J] 22600 archivos procesados
[2025-10-01 23:10:11] [J] 22800 archivos procesados
[2025-10-01 23:10:23] [J] 23000 archivos procesados
[2025-10-01 23:10:39] [J] 23200 archivos procesados
[2025-10-01 23:10:45] [J] 23400 archivos procesados
[2025-10-01 23:10:54] [J] 23600 archivos procesados
[2025-10-01 23:11:15] [J] 23800 archivos procesados
[2025-10-01 23:11:20] [J] 24000 archivos procesados
[2025-10-01 23:11:24] [J] 24200 archivos procesados
[2025-10-01 23:11:31] [J] 24400 archivos procesados
[2025-10-01 23:11:37] [J] 24600 archivos procesados
[2025-10-01 23:11:43] [J] 24800 archivos procesados
[2025-10-01 23:11:49] [J] 25000 archivos procesados
[2025-10-01 23:11:55] [J] 25200 archivos procesados
[2025-10-01 23:12:04] [J] 25400 archivos procesados
[2025-10-01 23:23:25] [INFO] J:\ completado (25570 archivos)
[2025-10-01 23:23:25] Guardando resultados en C:\Users\Antonio\Documents\GitHub\Discos-An-lisis-Final\_snapshots
[2025-10-01 23:23:25] Copiando artefactos al directorio raiz del repositorio
[2025-10-01 23:23:25] [OK] C:\Users\Antonio\Documents\GitHub\Discos-An-lisis-Final\index_by_hash.csv
[2025-10-01 23:23:25] [OK] C:\Users\Antonio\Documents\GitHub\Discos-An-lisis-Final\index_by_hash.txt
[2025-10-01 23:23:25] [OK] C:\Users\Antonio\Documents\GitHub\Discos-An-lisis-Final\dupes_confirmed.csv
[2025-10-01 23:23:25] Resumen de inventario:
