"Path","Files","GB","LastWrite","Largest"
"I:\PELICULAS","242","954,05","03/03/2015 9:47:19","ELYSIUM.mkv (11.123,30 MB)"
"I:\VIDEOS CIENCIA Y TECNOLOGIA","387","668,91","05/06/2016 20:54:17","OASIS OF THE SEAS (SUPERESTRUCTURAS).mpg (7.369,52 MB)"
"I:\_quarantine","4401","98,97","29/12/2013 19:11:46","AHORA ME VES.mkv (16.728,19 MB)"
"I:\FAMILIA","48","97,41","01/01/2014 13:48:57","EURODISNEY  sept.2008.mpg (11.067,42 MB)"
"I:\media_final","1","1,4","03/11/2012 19:54:47","SUPERNOVAS (LA HISTORIA DEL UNIVERSO).m2ts (1.428,83 MB)"
