"Hash","Bytes","SourcePath","DestPath","LastWrite"
"9B8F20820E0757329A5A34C4DBC0CF65A86B4608D266D3DAE863292AA621EB49","1533124608","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO FABRICAR UN CORAZON (LA NOCHE TEMATICA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO FABRICAR UN CORAZON (LA NOCHE TEMATICA).m2ts","2013-02-17 19:13:51"
"E5A1C0D6F502E780EA82E79270B61D67B43F14A217C6EDCD6CDB016FE4C46C48","1471254528","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO FUNCIONA EL UNIVERSO (SECRETOS DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO FUNCIONA EL UNIVERSO (SECRETOS DEL UNIVERSO).m2ts","2012-12-15 19:14:40"
"AE2032429BABB3B270A50BC5159FDFB835DEC672BA3F0C5DAFE2892900FC36EA","1656041472","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO NOS MOVEMOS (LA TIERRA PLANETA EN CONSTRUCCION).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO NOS MOVEMOS (LA TIERRA PLANETA EN CONSTRUCCION).m2ts","2013-03-25 10:51:17"
"4DE0264E8EB6857758837DCC4D63AC04C4A42586A3BC0A71B260AD75450CDCB6","1466296320","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO PIENSAN LOS EXTRATERRESTRES (SECRETOS DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO PIENSAN LOS EXTRATERRESTRES (SECRETOS DEL UNIVERSO).m2ts","2014-02-25 17:55:22"
"61AD5F1D44AF5930097D5D9EB3A57690BD3A28233C6FB2D7BC0AAFEDA9642804","510763008","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO SE CONECTAN LAS NEURONAS.m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO SE CONECTAN LAS NEURONAS.m2ts","2013-06-17 08:36:29"
"AAE7CF516454C0A82FF4827152E057DA92830DAA7C5DF0EA7C3030505EFFBC3A","1473724416","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO SE FORMO EL SISTEMA SOLAR (EL UNIVERSO T.6).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO SE FORMO EL SISTEMA SOLAR (EL UNIVERSO T.6).m2ts","2012-11-29 15:07:28"
"F5BE04D36340B85A79E6D43CA512AF9DC40848F32F0183DD9DFFB1B21D67DF87","1461374976","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO SER UN SUPERHUMANO (BIENVENIDO AL FUTURO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO SER UN SUPERHUMANO (BIENVENIDO AL FUTURO).m2ts","2014-02-25 20:52:07"
"7D321F39FE33AF07E6A69BAE83273D009F8D963F1A0B8EF4D6FFB747C169F70B","1495455744","I:\VIDEOS CIENCIA Y TECNOLOGIA\COMO SON LOS ALIENIGENAS (SECRETOS DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\COMO SON LOS ALIENIGENAS (SECRETOS DEL UNIVERSO).m2ts","2013-01-11 14:40:27"
"001A25A4BC022B4598E2512CAF8FEBF504F6B28063C7E69D37D8DDD5F1B8059B","1482762240","I:\VIDEOS CIENCIA Y TECNOLOGIA\CREO DIOS EL UNIVERSO (EL UNIVERSO SEGUN STEPHEN HAWKING).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CREO DIOS EL UNIVERSO (EL UNIVERSO SEGUN STEPHEN HAWKING).m2ts","2013-01-11 14:33:16"
"FE91313C1CD683F563C50790D13352E1E47F848B2F695AD58572950C971560DD","1452589056","I:\VIDEOS CIENCIA Y TECNOLOGIA\CREO DIOS LA EVOLUCION (SECRETOS DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CREO DIOS LA EVOLUCION (SECRETOS DEL UNIVERSO).m2ts","2014-04-23 09:19:37"
"ECBDEF4C45B057C48413AF5E96714781069A4A0C1FF5446AC934F5391D1EAFEF","1352503296","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO EMPEZO EL TIEMPO (SECRETOS DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO EMPEZO EL TIEMPO (SECRETOS DEL UNIVERSO).m2ts","2014-11-24 09:12:22"
"771A5F3CD892CAEAF39184B09EAE5EC291EB281A3E10094547A4290F05FE9841","1462732800","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO EMPEZO LA VIDA (SECRETOS DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO EMPEZO LA VIDA (SECRETOS DEL UNIVERSO).m2ts","2014-03-24 14:06:49"
"63C5E6609E74C10EAB0B7C07DA2AD3EC952D8C17E05D84AC210AB956D45BF4B4","1906735104","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO MANIPULEMOS LA EVOLUCION REDES.m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO MANIPULEMOS LA EVOLUCION REDES.m2ts","2012-04-10 13:41:55"
"779584436F5B9F27EF8DF4B1A3547D382BDF2726437E5CB0772F4087A9D87B00","4565348352","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO YA NO ESTE (CARLOS LOPEZ OTIN).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO YA NO ESTE (CARLOS LOPEZ OTIN).m2ts","2016-05-16 08:19:09"
"3F6AA0EEE9B59FB1039D84371A768A398EAD417995C511DFF9A9E3CC634DC6DC","4566540288","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO YA NO ESTE (JOSE LUIS CORDEIRO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO YA NO ESTE (JOSE LUIS CORDEIRO).m2ts","2016-03-27 13:34:59"
"464F437C3D19480C2E914C20E6A6BFB40F5AA0BAEE4C26A2F5D9A832D3609A48","2218131456","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO YA NO ESTE (JUAN IGNACIO CIRAC).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUANDO YA NO ESTE (JUAN IGNACIO CIRAC).m2ts","2016-03-30 16:58:00"
"5CB398AAC67D4EAAD2FF6C8E4DE0126CE9FB546059BA0EDA548209F2EF1716F8","2223771648","I:\VIDEOS CIENCIA Y TECNOLOGIA\CUESTION DE ESCALA (MUNDOS INVISIBLES).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CUESTION DE ESCALA (MUNDOS INVISIBLES).m2ts","2012-04-08 14:50:20"
