Hash,SHA256,Bytes,LastWrite,Path
"0FFC37948CD781AB1E0E57A9284912F04B17DC9FDB5135EC8576F4426925014F",,"138792960","2014-09-16 17:20:18","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (CENTIMETROS CUBICOS).m2ts"
"0FFC37948CD781AB1E0E57A9284912F04B17DC9FDB5135EC8576F4426925014F",,"138792960","2014-09-16 17:20:18","H:\Media_Final\BMW i8 (CENTIMETROS CUBICOS).m2ts"
"441B29A5E589696B1396624E0CF6D2386BEF505BA74CBDAB5EA05CB7D6D0BB11",,"146261606","2015-01-16 13:27:22","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (coches.net) .mp4"
"441B29A5E589696B1396624E0CF6D2386BEF505BA74CBDAB5EA05CB7D6D0BB11",,"146261606","2015-01-16 13:27:22","H:\Media_Final\BMW i8 (coches.net) .mp4"
"70FA3EFE7F91C4E1A20AF0324E6986CB5F880AC714760DE208766E38FAB47DCD",,"672958464","2014-09-16 17:30:54","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (ITALIANO).m2ts"
"70FA3EFE7F91C4E1A20AF0324E6986CB5F880AC714760DE208766E38FAB47DCD",,"672958464","2014-09-16 17:30:54","H:\Media_Final\BMW i8 (ITALIANO).m2ts"
"F47584349947E4162A516E19CD510C9F6DCB38C6DF41FCAF5F6A6C3106ADED3E",,"168112128","2014-05-17 12:31:26","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (MAS QUE COCHES) (2).m2ts"
"F47584349947E4162A516E19CD510C9F6DCB38C6DF41FCAF5F6A6C3106ADED3E",,"168112128","2014-05-17 12:31:26","H:\Media_Final\BMW i8 (MAS QUE COCHES) (2).m2ts"
"0350919617BDDDF0EF6906E89B70DFB9CAE3361DBB23C30D3F1A0D0C7149FF34",,"67903488","2013-09-14 14:34:14","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (MAS QUE COCHES).m2ts"
"0350919617BDDDF0EF6906E89B70DFB9CAE3361DBB23C30D3F1A0D0C7149FF34",,"67903488","2013-09-14 14:34:14","H:\Media_Final\BMW i8 (MAS QUE COCHES).m2ts"
"8FC54056EFC2820368D5C28AFFC8553D71E114CCF4131A11273B6FD51F2BB539",,"1223411712","2014-09-16 16:38:16","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (MEXICO).m2ts"
"8FC54056EFC2820368D5C28AFFC8553D71E114CCF4131A11273B6FD51F2BB539",,"1223411712","2014-09-16 16:38:16","H:\Media_Final\BMW i8 (MEXICO).m2ts"
"4DB2DB0BE32F8775FE604EA0A0EA6DDB223E708663C95FABA07F848B63DD1B22",,"186814464","2014-01-19 19:35:18","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW i8 (ZONA MOTOR).m2ts"
"4DB2DB0BE32F8775FE604EA0A0EA6DDB223E708663C95FABA07F848B63DD1B22",,"186814464","2014-01-19 19:35:18","H:\Media_Final\BMW i8 (ZONA MOTOR).m2ts"
"CE8FAD8FFE41E615C6F7C363F85E708A4E1F8A82B5C1FC115AC75CC1D343F520",,"167909376","2013-12-21 13:32:00","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW M6 GRAN COUPE (MAS QUE COCHES) .m2ts"
"CE8FAD8FFE41E615C6F7C363F85E708A4E1F8A82B5C1FC115AC75CC1D343F520",,"167909376","2013-12-21 13:32:00","H:\Media_Final\BMW M6 GRAN COUPE (MAS QUE COCHES) .m2ts"
"1B1D8F89B3D521DC202F1F33A7CA1A4F056A19FE4F4DFA716C858782462D6946",,"169998336","2014-04-27 11:14:22","H:\offload\_quarantine_from_I\migrated\VIDEOS CIENCIA Y TECNOLOGIA\BMW VISION FUTURE LUXE CONCEPT (MAS QUE COCHES).m2ts"
"1B1D8F89B3D521DC202F1F33A7CA1A4F056A19FE4F4DFA716C858782462D6946",,"169998336","2014-04-27 11:14:22","H:\Media_Final\BMW VISION FUTURE LUXE CONCEPT (MAS QUE COCHES).m2ts"
